time,r00,r01,r02,r10,r11,r12,r20,r21,r22,t0,t1,t2,pitch,yaw,roll,fx,ox,fy,oy
4832,0.011417976,0.99676085,0.079607315,-0.98401326,-0.002949832,0.1780705,0.17772852,-0.08036787,0.98079216,0.11554283,-0.12740737,-1.7817453,-0.17902526,0.08098881,-1.5737941,1505.423,976.42334,1505.423,723.76483
4864,0.01778862,0.9972816,0.07150393,-0.98402953,0.0047941417,0.17794015,0.17711364,-0.07352731,0.9814399,0.12072639,-0.121649645,-1.824486,-0.17889279,0.07272765,-1.5659244,1505.8046,976.4265,1505.8046,723.5912
4898,0.018804137,0.99602056,0.08711673,-0.9809898,0.001547605,0.19405249,0.19314542,-0.08910964,0.9771152,0.1265205,-0.114453524,-1.8688704,-0.19529149,0.08892196,-1.5692188,1506.0514,976.5988,1506.0514,723.55884
4931,0.017369173,0.99423605,0.10579686,-0.97884494,-0.004665929,0.20455015,0.20386475,-0.10711161,0.97312176,0.12756747,-0.104987234,-1.9117556,-0.20600411,0.108293705,-1.5755631,1505.872,976.75446,1505.872,723.6702
4966,0.016662836,0.99454224,0.10299571,-0.9788343,-0.0047887596,0.2045986,0.20397516,-0.10422493,0.97341204,0.13080621,-0.09726645,-1.9507673,-0.20605361,0.10541672,-1.5756886,1504.898,976.9352,1504.898,723.59436
4998,0.022091642,0.9953719,0.09352306,-0.9810933,0.0035936758,0.19350217,0.19227055,-0.09602964,0.9766321,0.13250461,-0.088257484,-1.9865013,-0.19473054,0.095469676,-1.5671334,1504.9518,977.0353,1504.9518,723.5243
5032,0.027331918,0.9952178,0.093778834,-0.9821299,0.009259577,0.18797633,0.18620902,-0.09724076,0.97768617,0.13416219,-0.08102477,-2.0233252,-0.18910134,0.09562661,-1.5613686,1505.1538,977.10754,1505.1538,723.46094
5066,0.02461018,0.9950624,0.09615117,-0.98270994,0.006424573,0.18504006,0.18350865,-0.099042594,0.97801584,0.13670482,-0.07610144,-2.0610592,-0.18611263,0.097997576,-1.5642588,1505.7013,977.1783,1505.7013,723.30365
5099,0.02268572,0.99462485,0.10102758,-0.9833665,0.0039843726,0.18158826,0.18020965,-0.10346662,0.97817117,0.13628948,-0.07097062,-2.0963986,-0.18260133,0.102917194,-1.5667446,1505.791,977.2818,1505.791,723.2883
5133,0.029862612,0.9949004,0.09633874,-0.98405224,0.012354117,0.17744946,0.17535436,-0.100101486,0.979403,0.13646843,-0.068405084,-2.1324315,-0.17839418,0.09804934,-1.5582427,1505.7238,977.2038,1505.7238,723.24304
